FOODNAME,good,sad,tired,stress
제주흑도새기 치즈캡 L,0,0,1,0
치즈블라썸 스테이크 노엣지 R,0,0,1,0
치즈블라썸 스테이크 해쉬브라운R,0,0,1,0
치즈블라썸 스테이크 골드R,0,0,1,0
치즈블라썸 스테이크 크림치즈R,0,0,1,0
치즈블라썸 스테이크 에그타르트R,0,0,1,0
치즈블라썸 스테이크 치즈캡 R,0,0,1,0
치즈블라썸 스테이크 노엣지 L,0,0,1,0
치즈블라썸 스테이크 해쉬브라운 L,0,0,1,0
치즈블라썸 스테이크 골드L,0,0,1,0
치즈블라썸 스테이크 크림치즈 L,0,0,1,0
치즈블라썸 스테이크 에그타르트 L,0,0,1,0
치즈블라썸 스테이크 치즈캡 L,0,0,1,0
새우천왕 노엣지 오리진R,0,0,1,0
새우천왕 치즈캡R,0,0,1,0
새우천왕 해쉬브라운R,0,0,1,0
새우천왕 에그타르트R,0,0,1,0
새우천왕 골드R,0,0,1,0
새우천왕 크림치즈R,0,0,1,0
새우천왕 노엣지 오리진L,0,0,1,0
새우천왕 치즈캡L,0,0,1,0
새우천왕 해쉬브라운L,0,0,1,0
새우천왕 에그타르트L,0,0,1,0
새우천왕 골드L,0,0,1,0
새우천왕 크림치즈L,0,0,1,0
치우천왕 오리진R,0,0,1,0
치우천왕 치즈캡R,0,0,1,0
치우천왕 해쉬브라운R,0,0,1,0
치우천왕 에그타르트R,0,0,1,0
치우천왕 골드R,0,0,1,0
치우천왕 크림치즈R,0,0,1,0
치우천왕 노엣지L,0,0,1,0
치우천왕 치즈캡L,0,0,1,0
치우천왕 해쉬브라운L,0,0,1,0
치우천왕 에그타르트L,0,0,1,0
치우천왕 골드L,0,0,1,0
치우천왕 크림치즈L,0,0,1,0
트레비앙 해쉬브라운R,0,0,1,0
트레비앙 에그타르트R,0,0,1,0
트레비앙 오리진R,0,0,1,0
트레비앙 골드R,0,0,1,0
트레비앙 크림치즈R,0,0,1,0
트레비앙 치즈캡R,0,0,1,0
트레비앙 해쉬브라운L,0,0,1,0
트레비앙 에그타르트L,0,0,1,0
트레비앙 오리진L,0,0,1,0
트레비앙 골드L,0,0,1,0
트레비앙 크림치즈L,0,0,1,0
트레비앙 치즈캡L,0,0,1,0
러블리피스 해쉬브라운R,0,0,1,0
러블리피스 에그타르트R,0,0,1,0
러블리피스 오리진R,0,0,1,0
러블리피스 골드R,0,0,1,0
러블리피스 크림치즈R,0,0,1,0
러블리피스 치즈캡R,0,0,1,0
러블리피스 해쉬브라운L,0,0,1,0
러블리피스 에그타르트L,0,0,1,0
러블리피스 오리진L,0,0,1,0
러블리피스 골드L,0,0,1,0
러블리피스 크림치즈L,0,0,1,0
러블리피스 치즈캡L,0,0,1,0
스윗피스 해쉬브라운R,0,0,1,0
스윗피스 에그타르트R,0,0,1,0
스윗피스 오리진R,0,0,1,0
스윗피스 골드R,0,0,1,0
스윗피스 크림치즈R,0,0,1,0
스윗피스 치즈캡R,0,0,1,0
스윗피스 해쉬브라운L,0,0,1,0
스윗피스 에그타르트L,0,0,1,0
